,Race ID,Driver ID,position,avg laptime,Avg Pit Time
2340,913,818,6.0,120943.26666666663,31742.0
2342,915,818,13.0,105812.05660377357,30272.0
2343,916,818,10.0,109083.0,27355.5
2344,917,818,13.0,77448.24285714286,24064.0
2345,918,818,12.0,109719.38181818182,22676.0
2346,860,819,15.0,102463.90566037736,30458.33333333333
2347,861,819,20.0,183276.59259259253,32694.33333333333
2348,862,819,20.0,106191.85454545454,19955.33333333333
2349,863,819,18.0,104297.79166666669,24020.0
2350,864,819,20.0,95090.77142857145,21137.0
2351,865,819,16.0,83095.65625,27186.0
2352,866,819,20.0,82880.01492537314,23291.0
2353,867,819,15.0,111459.64912280704,27237.0
2354,868,819,19.0,102023.3137254902,26238.5
2355,869,819,20.0,84585.4923076923,18606.0
2356,870,819,20.0,91184.223880597,21146.5
2357,871,819,16.0,126045.90697674418,21611.0
2358,872,819,16.0,92566.15384615383,23042.5
2359,873,819,16.0,124729.98305084744,30740.5
2360,874,819,20.0,106424.64864864864,31924.0
2361,875,819,19.0,109271.03773584904,21660.5
2362,876,819,19.0,94259.7627118644,22692.0
2363,877,819,17.0,118757.02439024391,21941.0
2364,878,819,20.0,106881.96296296296,22379.0
2365,879,819,12.0,90451.5142857143,23418.33333333333
2366,880,819,16.0,96765.96428571428,23451.5
2367,881,819,14.0,109624.90909090909,29165.0
2368,882,819,16.0,105470.4,21580.666666666668
2369,883,819,17.0,103149.05357142855,22917.0
2370,884,819,17.0,92883.7076923077,20935.33333333333
2371,886,819,18.0,82537.28358208956,22108.5
2372,887,819,15.0,107905.17307692306,26281.0
2373,888,819,17.0,103567.93220338985,22357.66666666667
2374,890,819,15.0,91063.08823529413,22457.5
2375,892,819,17.0,91497.51923076923,25966.0
2376,893,819,19.0,119811.05,31798.33333333333
2377,894,819,14.0,113768.70909090908,24343.0
2378,895,819,18.0,101721.61538461539,22232.0
2379,896,819,21.0,97359.74285714288,28026.0
2380,897,819,19.0,110352.85185185184,23251.5
2381,898,819,20.0,109925.2181818182,23130.0
2382,899,819,17.0,80726.87931034483,24099.0
2383,880,820,17.0,97379.51785714287,30116.66666666667
2384,881,820,16.0,110268.25925925926,24354.75
2385,882,820,17.0,106122.65454545453,23768.33333333333
2386,883,820,20.0,104043.46428571428,23860.5
2387,884,820,19.0,93566.09375,22738.66666666667
2388,885,820,14.0,106691.55128205127,23696.0
2389,886,820,19.0,82852.85074626865,21374.0
2390,887,820,17.0,108598.38461538461,25866.0
2391,888,820,19.0,103735.84745762713,20669.75
2392,890,820,17.0,92672.76119402984,22627.0
2393,891,820,19.0,119762.76190476194,21785.33333333333
2394,892,820,20.0,92163.98076923077,26146.0
2395,893,820,17.0,119689.85,30452.33333333333
2396,894,820,17.0,113938.16363636365,25030.0
2397,895,820,19.0,102090.98076923077,24010.5
2398,896,820,17.0,94555.12068965516,24601.0
2399,897,820,21.0,111589.45283018867,23146.0
2400,898,820,21.0,110662.68518518518,21515.0
2401,899,820,19.0,81617.73913043477,23910.33333333333
2402,900,820,14.0,101837.61818181818,23851.0
2403,901,820,15.0,111808.16666666669,27559.0
2404,902,820,13.0,106011.43859649124,26357.33333333333
2405,903,820,19.0,107969.88888888886,23848.33333333333
2406,904,820,19.0,95781.0625,23718.33333333333
2407,905,820,14.0,88477.76,32187.66666666667
2408,907,820,17.0,77010.95652173914,22977.0
2409,908,820,16.0,178151.08,26445.5
2410,909,820,17.0,87099.53846153848,21811.666666666668
2411,910,820,16.0,99041.9420289855,23928.5
2412,911,820,16.0,119495.51162790698,24303.5
2413,913,820,17.0,122476.79661016948,32867.666666666664
2415,915,820,21.0,115919.44444444445,31374.0
2416,880,821,13.0,95303.80701754386,22315.5
2417,881,821,12.0,108021.70909090908,22977.0
2418,883,821,18.0,103159.58928571428,23695.75
2419,884,821,11.0,91733.93846153846,20384.5
2420,885,821,13.0,106606.0,25645.0
2421,886,821,16.0,81864.90476190476,21770.5
2422,887,821,14.0,107802.71153846152,27098.5
2423,888,821,14.0,102247.85,20281.666666666668
2424,890,821,16.0,91661.35714285713,22425.0
2425,891,821,14.0,116423.45454545454,20968.666666666668
2426,892,821,13.0,89702.49056603774,24668.0
2427,893,821,12.0,118869.2786885246,30535.0
2428,894,821,11.0,113267.10909090909,23252.0
2429,895,821,7.0,99640.2075471698,23535.5
2430,896,821,15.0,93046.79661016948,22832.66666666667
2431,897,821,13.0,108916.38181818182,22377.5
2432,898,821,14.0,108015.26785714287,24943.0
2433,899,821,12.0,79455.4857142857,23497.5
2434,900,821,13.0,99874.21428571428,28227.0
2435,901,821,13.0,111369.62857142858,27872.5
2436,902,821,15.0,104071.79487179489,25588.0
2437,903,821,16.0,106636.52727272727,22991.33333333333
2438,904,821,16.0,94390.2,23622.66666666667
2439,905,821,8.0,86555.27118644067,25906.0
2440,906,821,14.0,86481.125,24513.66666666667
2441,907,821,19.0,77122.9420289855,35606.333333333336
2442,909,821,14.0,85728.65151515152,21362.0
2443,910,821,16.0,107254.375,24050.0
2444,911,821,15.0,117440.47727272726,23078.5
2445,912,821,19.0,93230.82352941176,26306.0
2446,913,821,19.0,120877.9411764706,33679.0
2448,915,821,15.0,106510.30769230767,30303.0
2449,916,821,14.0,109557.67272727273,26977.0
2450,917,821,14.0,77510.08571428571,23782.0
2451,918,821,15.0,110295.33333333331,23199.0
2452,949,821,18.0,105927.22222222223,32793.0
2453,950,821,14.0,107973.4,23303.66666666667
2454,951,821,17.0,108258.65384615383,32603.0
2455,952,821,11.0,94052.38461538461,22818.0
2456,953,821,12.0,94110.64935064936,26725.5
2457,954,821,13.0,80379.17647058824,23670.0
2458,955,821,16.0,112178.6,25380.0
2459,956,821,11.0,75166.55714285714,19689.25
2460,957,821,16.0,112758.76470588235,35696.0
2461,958,821,12.0,88039.50724637682,22674.0
2462,959,821,11.0,82805.98484848485,19712.5
2464,961,821,13.0,89854.1923076923,25332.5
2465,962,821,11.0,116096.48333333337,28995.33333333333
2466,963,821,18.0,107643.07692307694,26867.33333333333
2467,964,821,20.0,101051.01923076923,23951.0
2468,965,821,21.0,110558.9375,24470.0
2469,966,821,19.0,87170.4857142857,24154.0
2471,968,821,12.0,108711.38181818182,22067.0
2472,880,822,14.0,95434.52631578947,23601.0
2473,881,822,11.0,107594.48214285713,25314.0
2474,882,822,13.0,105014.39285714287,21773.666666666668
2475,883,822,14.0,102491.38596491226,24991.33333333333
2476,884,822,16.0,92846.76923076923,20537.33333333333
2477,885,822,12.0,106599.32051282053,29063.0
2478,886,822,14.0,81195.42028985507,23330.0
2479,887,822,12.0,107779.80769230767,31041.0
2480,888,822,16.0,103117.72881355931,39745.5
2481,890,822,16.0,91113.54761904762,22317.5
2482,891,822,15.0,116583.0,23475.5
2483,892,822,15.0,90003.37735849057,24665.0
2484,893,822,13.0,118988.40983606556,32139.33333333333
2485,894,822,12.0,113468.18181818182,24076.0
2486,895,822,17.0,100562.55769230767,23452.0
2487,896,822,16.0,93055.72881355931,26764.0
2488,897,822,15.0,109020.61111111114,25020.5
2489,898,822,8.0,107351.01785714287,25014.0
